date,count,new cases,multiplication factor
03-22-2020,62,+0,0.000
03-23-2020,79,+17,1.274
03-24-2020,86,+7,1.089
03-25-2020,98,+12,1.140
03-26-2020,119,+21,1.214
03-27-2020,160,+41,1.345
03-22-2020,9,+-151,0.056
03-23-2020,14,+5,1.556
03-24-2020,14,+0,1.000
03-25-2020,22,+8,1.571
03-26-2020,27,+5,1.227
03-27-2020,34,+7,1.259
03-22-2020,131,+97,3.853
03-23-2020,155,+24,1.183
03-24-2020,169,+14,1.090
03-25-2020,247,+78,1.462
03-26-2020,303,+56,1.227
03-27-2020,367,+64,1.211
