name,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020
East Baton Rouge Louisiana,+0,+25,+15,+17,+30,+19,+29,+11,+24,+40,+16,+81,+64,+232,+35,+160,+76,+43,+65,+88,+70,+65,+50,+22,+30,+64,+35,+52,+36,+22,+26
Erie New York,+0,+31,+27,+8,+84,+39,+73,+96,+29,+56,+83,+35,+117,+74,+251,+89,+86,+101,+97,+66,+8,+65,+90,+69,+82,+139,+72,+0,+169,+0,+92
Essex Massachusetts,+0,+13,+45,+59,+70,+103,+122,+98,+83,+131,+101,+154,+199,+162,+106,+147,+188,+262,+233,+334,+226,+274,+243,+181,+300,+351,+339,+330,+239,+0,+368
Essex New Jersey,+0,+101,+69,+39,+228,+217,+260,+141,+337,+336,+362,+355,+450,+517,+498,+411,+585,+520,+471,+511,+427,+403,+224,+578,+367,+505,+588,+229,+403,+425,+399
Fairfax Virginia,+0,+12,+3,+30,+3,+45,+32,+32,+36,+20,+44,+40,+44,+15,+39,+62,+44,+38,+120,+87,+169,+62,+156,+43,+91,+77,+101,+157,+176,+116,+152
Fairfield Connecticut,+0,+62,+114,+162,+61,+145,+156,+337,+200,+425,+116,+146,+584,+108,+226,+669,+417,+0,+746,+298,+227,+127,+470,+209,+267,+336,+330,+217,+71,+886,+152
Franklin Ohio,+0,+10,+31,+13,+21,+43,+70,+25,+34,+44,+66,+50,+62,+54,+40,+47,+59,+58,+41,+48,+44,+49,+69,+41,+49,+110,+108,+83,+110,+-3,+47
Fulton Georgia,+0,+34,+39,+14,+13,+96,+66,+34,+56,+107,+54,+88,+170,+59,+21,+65,+97,+116,+36,+88,+58,+45,+131,+214,+32,+85,+96,+29,+56,+88,+10
Genesee Michigan,+0,+9,+11,+12,+17,+28,+19,+17,+23,+35,+64,+100,+73,+42,+40,+64,+70,+75,+42,+73,+91,+36,+33,+42,+54,+63,+50,+31,+12,+16,+42
Gwinnett Georgia,+0,+7,+11,+3,+27,+27,+27,+14,+15,+80,+12,+32,+47,+35,+44,+35,+82,+40,+38,+43,+29,+15,+49,+76,+37,+44,+121,+33,+49,+82,+41
Hampden Massachusetts,+0,+3,+9,+21,+10,+35,+93,+18,+54,+99,+121,+71,+115,+72,+35,+121,+108,+84,+195,+118,+151,+102,+47,+104,+87,+100,+149,+120,+83,+0,+196
Harris Texas,+0,+4,+56,+51,+18,+26,+216,+81,+37,+117,+167,+108,+151,+178,+111,+414,+337,+195,+706,+214,+300,+68,+115,+163,+190,+209,+154,+193,+170,+154,+166
Hartford Connecticut,+0,+7,+27,+28,+22,+51,+39,+48,+54,+63,+76,+70,+140,+47,+25,+131,+163,+0,+426,+144,+217,+82,+329,+127,+200,+289,+156,+181,+155,+472,+128
Hennepin Minnesota,+0,+32,+14,+8,+17,+13,+11,+19,+19,+14,+14,+17,+7,+10,+15,+13,+30,+34,+31,+40,+49,+93,+0,+1,+93,+0,+155,+69,+49,+51,+38
Hudson New Jersey,+0,+64,+44,+26,+181,+153,+177,+203,+340,+292,+304,+360,+565,+656,+433,+471,+554,+488,+442,+532,+440,+618,+410,+363,+269,+654,+471,+320,+530,+664,+71
Jefferson Colorado,+0,+4,+0,+38,+38,+0,+27,+55,+0,+91,+0,+52,+29,+55,+79,+21,+39,+31,+0,+50,+23,+80,+24,+22,+0,+28,+23,+28,+69,+0,+54
Jefferson Louisiana,+0,+86,+41,+66,+99,+90,+196,+17,+77,+355,+240,+745,+317,+513,+80,+442,+392,+170,+388,+198,+199,+113,+98,+100,+77,+81,+130,+67,+49,+169,+41
King Washington,+0,+130,+0,+189,+218,+0,+500,+82,+2,+169,+0,+326,+131,+111,+269,+164,+155,+202,+198,+231,+145,+164,+0,+123,+71,+77,+205,+0,+272,+0,+119
Lake Illinois,+0,+27,+15,+28,+0,+91,+11,+59,+43,+46,+88,+63,+68,+75,+59,+73,+0,+226,+0,+189,+101,+114,+71,+105,+90,+56,+147,+159,+89,+54,+71
Lake Indiana,+0,+0,+7,+2,+12,+16,+21,+17,+12,+49,+34,+35,+29,+69,+22,+34,+49,+43,+64,+51,+100,+68,+52,+23,+57,+102,+48,+69,+10,+77,+45
Lancaster Pennsylvania,+0,+-1,+5,+2,+9,+12,+12,+22,+30,+26,+34,+46,+29,+59,+80,+37,+82,+71,+35,+52,+50,+74,+56,+37,+49,+56,+60,+83,+75,+48,+59
Lehigh Pennsylvania,+0,+6,+2,+11,+25,+30,+16,+42,+80,+41,+102,+105,+105,+220,+73,+129,+140,+173,+147,+96,+58,+64,+63,+56,+119,+77,+93,+49,+62,+42,+50
Los Angeles California,+0,+129,+126,+150,+417,+236,+0,+364,+645,+545,+499,+527,+521,+39,+1350,+422,+559,+623,+396,+488,+10,+441,+539,+614,+470,+337,+546,+621,+320,+1482,+1330
Luzerne Pennsylvania,+0,+3,+11,+6,+9,+19,+10,+29,+56,+62,+70,+102,+100,+164,+93,+108,+133,+152,+107,+84,+47,+39,+35,+77,+44,+44,+57,+44,+29,+26,+33
Macomb Michigan,+0,+35,+50,+56,+66,+57,+130,+86,+108,+125,+235,+244,+228,+278,+165,+156,+255,+212,+157,+190,+191,+90,+164,+202,+172,+200,+153,+106,+109,+65,+119
Maricopa Arizona,+0,+58,+60,+52,+48,+100,+55,+91,+145,+98,+83,+90,+88,+122,+155,+107,+62,+64,+130,+52,+150,+69,+60,+36,+90,+118,+140,+87,+98,+47,+102
Marion Indiana,+0,+0,+79,+65,+67,+191,+100,+92,+128,+160,+153,+187,+125,+141,+190,+196,+185,+149,+125,+185,+142,+145,+125,+51,+141,+116,+198,+106,+265,+163,+124
